"ncue","P50","P41","econ_state_agg","P55","populist_agg","NSE_AGR"
193,1,5,1.4766983,2,-0.35716718,4
194,1,5,1.4766983,2,0.66940737,4
195,1,5,1.4766983,2,-1.497437,4
196,1,6,1.4766983,2,-0.046179641,3
197,1,5,1.4766983,2,-0.35716718,3
198,1,5,1.4766983,2,0.71924376,3
199,1,4,1.4766983,1,0.16341148,4
200,1,NA,NA,1,-0.31081632,3
201,1,5,-0.98437679,1,-0.14195235,4
202,1,NA,-0.98437679,1,0.1831878,4
203,1,10,-0.65843457,1,NA,3
204,1,5,1.8026404,1,-1.497437,3
205,1,5,-0.98437679,1,-0.66975963,3
206,2,NA,-0.98437679,1,2.4343779,3
207,1,0,-0.65843457,1,2.0094261,4
208,1,2,-0.98437679,1,0.3794938,4
209,2,NA,NA,1,1.0446684,4
210,1,NA,2.3939438,1,1.0446684,3
211,2,NA,-0.39307344,1,2.3650723,4
212,1,5,-0.067131236,1,0.63892132,4
213,1,5,NA,1,NA,4
214,1,7,-0.98437679,NA,-0.42130625,4
215,1,5,NA,2,0.21310216,4
216,1,5,NA,1,NA,3
217,2,4,NA,2,NA,2
218,1,5,-0.98437679,2,-0.95964617,4
219,1,NA,-0.98437679,1,0.14924328,4
220,3,NA,-0.98437679,2,0.14924328,3
221,3,NA,NA,1,2.1940475,3
222,2,7,NA,NA,NA,4
223,3,NA,NA,1,NA,3
224,1,5,NA,1,-1.497437,4
225,1,5,NA,1,-1.2307854,4
226,1,5,0.80099416,1,-0.57746804,3
227,1,7,NA,1,0.80835694,4
228,1,3,-0.98437679,1,-1.3963208,2
229,1,5,-0.65843457,1,0.27462316,2
230,1,6,NA,1,0.59486568,4
231,1,4,NA,1,-0.22847448,3
232,1,5,-0.65843457,2,0.7069605,2
233,2,9,1.1269363,1,2.262351,4
234,1,8,NA,NA,-0.67886448,4
235,3,2,NA,1,NA,4
236,1,2,NA,NA,NA,4
237,1,4,NA,2,-1.497437,2
238,3,0,-0.65843457,2,1.3757393,4
239,1,4,-0.067131236,1,0.75144207,3
240,3,7,NA,1,1.859491,4
241,1,10,NA,2,-0.66975963,3
242,2,5,-0.98437679,1,-1.3685986,4
243,2,NA,NA,2,NA,4
244,1,NA,NA,1,NA,4
245,1,7,NA,2,-0.81954896,4
246,1,NA,0.87393397,2,NA,3
247,1,NA,NA,1,-0.096457601,3
248,2,7,-0.98437679,1,1.0760106,4
249,2,5,NA,1,-1.497437,3
250,1,6,-0.98437679,NA,0.87913293,1
251,1,4,0.87393397,1,-0.013835597,2
252,1,5,-0.98437679,1,-1.2307854,4
253,1,5,-0.65843457,1,-0.74241626,3
254,1,5,0.20969085,1,-0.9918558,2
255,1,4,-0.65843457,1,-1.3457627,2
256,1,5,-0.65843457,NA,-0.16851561,4
257,1,5,NA,1,-0.90259689,2
258,1,5,0.28263065,1,0.83334237,3
259,1,7,1.1998762,2,-0.34476084,2
260,1,3,-0.98437679,2,-0.9918558,3
261,1,5,-0.98437679,1,0.77586716,3
262,1,2,-0.98437679,2,-1.1802272,2
263,1,5,-0.65843457,1,1.859491,3
264,1,3,-0.98437679,2,1.0982435,3
265,1,6,-0.65843457,1,0.84056658,4
266,1,7,0.80099416,1,-0.73764867,4
267,1,5,0.53563309,1,0.1528475,4
268,1,4,1.1269363,1,1.3599976,2
269,1,5,-0.39307344,1,1.859491,4
270,1,4,-0.39307344,1,1.3527734,3
271,1,4,1.1269363,1,1.6893337,2
272,1,6,0.20969085,2,0.022139721,4
273,1,6,NA,2,-0.84064996,3
274,1,5,-0.65843457,2,0.18680775,3
275,1,0,-0.98437679,2,-0.30719635,3
276,1,3,-0.98437679,2,0.28415832,3
277,1,NA,-0.98437679,2,1.1824816,2
278,1,NA,-0.39307344,2,0.067342989,2
279,1,NA,-0.98437679,NA,NA,2
280,3,2,NA,1,-1.497437,4
281,1,NA,NA,1,-1.4146693,4
282,1,NA,NA,1,0.080056466,4
283,1,3,NA,1,-0.099210113,3
284,1,NA,NA,1,-1.1753409,3
285,1,NA,-0.98437679,1,1.1374129,4
286,1,4,1.4766983,2,0.94341773,3
287,1,4,1.4766983,2,-0.34966284,3
288,1,5,1.4766983,2,-0.71307784,3
289,1,6,1.4766983,2,-0.42607382,4
290,1,5,1.4766983,2,-0.79497814,4
291,1,5,1.4766983,2,-0.49598235,4
292,2,10,NA,1,NA,3
293,1,3,-0.98437679,2,0.55457574,3
294,1,5,-0.65843457,2,0.96190065,4
295,2,NA,NA,1,-0.78733933,2
296,1,6,NA,NA,-0.30272466,4
297,1,NA,-0.65843457,2,-0.22891602,4
298,1,NA,-0.39307344,2,0.34972516,3
299,NA,4,NA,1,-0.98985201,4
300,2,5,0.20969085,1,NA,4
301,1,3,-0.98437679,2,-1.4008082,3
302,1,2,NA,1,-1.3135531,2
303,1,5,NA,2,-1.497437,3
304,1,2,-0.98437679,2,-0.9918558,3
305,1,NA,NA,2,1.3620127,3
306,3,NA,NA,1,0.59313077,3
307,1,1,-0.98437679,2,0.63558155,1
308,1,5,1.8026404,1,-0.29782265,3
309,1,3,-0.65843457,1,-1.2446464,3
310,1,9,-0.98437679,1,0.69843858,4
311,1,3,0.20969085,2,-1.2446464,2
312,1,4,NA,1,0.41546911,3
313,1,5,-0.98437679,1,-0.83080769,3
314,1,7,0.20969085,1,1.298461,4
315,1,4,NA,2,-0.014837475,3
316,1,6,NA,1,0.40362307,2
317,1,5,NA,2,NA,4
318,1,5,0.20969085,1,0.055938493,3
319,1,5,NA,2,-0.52719009,3
320,1,8,0.53563309,1,0.65482455,3
321,1,NA,1.4766983,1,0.71839195,3
322,1,9,0.53563309,1,0.14924328,3
323,2,NA,NA,1,-0.25563633,4
324,1,5,NA,NA,NA,4
325,1,5,NA,2,-1.497437,3
326,1,1,0.20969085,1,1.4504155,2
327,1,8,0.53563309,1,0.31824857,3
328,2,8,0.28263065,1,NA,3
329,1,NA,0.28263065,NA,-1.497437,3
330,1,5,NA,NA,-1.497437,3
331,1,5,0.28263065,1,-0.9918558,2
332,1,5,-0.98437679,2,-0.9918558,3
333,1,5,-0.98437679,2,-0.12923886,4
334,3,NA,-0.65843457,1,1.0043671,3
335,1,5,-0.65843457,2,-0.66975963,3
336,1,5,NA,1,-1.2683498,4
337,1,5,-0.65843457,1,0.73281342,4
338,1,NA,NA,1,-1.3824598,4
339,2,5,0.28263065,1,-1.3963208,3
340,1,5,1.8026404,2,-0.9918558,3
341,3,10,2.3939438,1,-1.2858309,3
342,1,5,-0.98437679,2,-0.70672113,3
343,2,5,NA,2,-0.26327512,3
344,2,NA,NA,2,-0.26025817,4
345,3,5,-0.98437679,1,0.67475092,4
346,3,NA,NA,2,NA,4
347,2,4,NA,1,1.2571578,4
348,1,5,NA,1,0.024316162,3
349,1,NA,NA,1,0.46560133,4
350,1,5,NA,1,0.33270136,4
351,3,5,-0.98437679,1,1.859491,3
352,1,3,NA,1,1.4504155,4
353,1,5,-0.65843457,NA,1.3269318,4
354,2,7,-0.65843457,1,0.71839195,2
355,3,5,-0.65843457,1,0.66231757,3
356,1,5,0.80099416,1,2.0849583,4
357,1,5,NA,2,1.4355412,3
358,1,7,NA,1,-0.20348905,4
359,1,5,0.20969085,1,-1.497437,3
360,1,1,-0.98437679,1,-1.3963208,4
361,3,NA,NA,1,0.24559195,4
362,3,5,0.53563309,2,-1.3264123,4
363,2,2,-0.98437679,1,0.65482455,3
364,1,NA,0.53563309,1,NA,3
365,1,NA,NA,1,-1.2446464,3
366,2,9,-0.65843457,1,2.6871684,2
367,1,5,NA,2,-1.2952045,4
368,1,5,-0.65843457,2,-0.47764516,3
369,1,2,NA,2,-1.3685986,4
370,1,3,NA,2,-0.75527549,4
371,1,3,NA,2,-0.31659707,4
372,1,5,NA,2,0.14924328,3
373,1,5,NA,1,-0.88773388,4
374,3,NA,NA,2,0.97202313,4
375,1,5,0.53563309,1,NA,4
376,3,4,1.1269363,2,0.65482455,4
377,1,7,-0.98437679,1,0.68660825,4
378,1,5,-0.98437679,2,-0.32021704,2
379,3,NA,NA,1,NA,4
380,3,10,NA,2,2.3650723,3
381,3,7,0.20969085,1,NA,4
382,1,NA,NA,NA,NA,4
383,1,5,NA,1,NA,4
384,2,10,-0.65843457,1,1.0043671,4
385,1,1,-0.98437679,2,-0.9918558,4
386,1,3,0.20969085,2,1.2645164,4
387,2,5,-0.98437679,1,0.75866628,4
388,2,3,NA,1,-1.003433,3
389,2,6,NA,1,-0.42130625,4
390,2,2,-0.65843457,1,-0.90231669,4
391,1,7,NA,2,-0.57774824,4
392,1,4,NA,2,0.14260636,4
393,2,5,NA,1,-0.95951176,4
394,3,3,NA,1,-0.079256706,3
395,1,5,-0.98437679,2,-0.064528152,4
396,1,4,-0.98437679,2,0.26552963,2
397,1,5,NA,1,0.048434135,4
398,1,5,NA,2,-0.18586224,2
399,1,8,0.20969085,1,-0.92743653,3
400,1,3,0.53563309,2,-0.2237069,4
401,1,0,-0.98437679,2,1.3536409,3
402,1,NA,-0.65843457,1,1.0059563,2
403,1,2,-0.98437679,2,1.0952265,3
404,3,6,2.0680015,1,0.36505672,4
405,1,4,-0.067131236,1,1.79045,4
406,1,0,-0.98437679,2,0.80358934,3
407,1,8,NA,2,-1.497437,4
408,1,5,-0.98437679,1,-0.36901322,3
409,1,2,-0.98437679,2,-0.25331417,3
410,1,2,-0.98437679,1,1.3802267,2
411,1,6,-0.98437679,1,0.56280184,2
412,1,5,NA,1,NA,4
413,2,5,-0.39307344,1,1.5063171,4
414,3,5,1.1269363,2,2.061589,3
415,1,5,NA,1,1.1762594,3
416,1,5,-0.98437679,1,1.6074334,3
